representation_index,rebuffering_duration,video_bitrate,chunk_duration,framerate,width,height,mos,psnr,ssim,vmaf
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,86.66666665999999,35.673599999999986,0.9788000000000001,96.11151140000001
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,60.0,35.33600000000001,0.9760399999999997,100.0
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,72.0,35.6812,0.9769200000000001,99.69153772
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,68.0,35.852399999999996,0.9788800000000001,99.19300215999999
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,64.0,35.76,0.97852,96.87135547999998
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,64.0,35.6592,0.9775200000000004,96.36693884
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,64.0,35.51239999999999,0.9767999999999999,92.57840395999997
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,64.0,35.7864,0.9774000000000003,92.82292676000002
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,65.71428572,37.7108,0.96788,98.77066323999999
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,65.71428572,44.5388,0.99348,98.84509212000003
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,65.71428572,46.4384,0.9935199999999997,97.52585763999997
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,65.71428572,40.7848,0.9692799999999999,98.44883727999999
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,71.42857142,40.458800000000004,0.96756,97.25524544000001
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,71.42857142,40.382,0.9670799999999998,97.19129039999999
0.0,0.0,750.0,1.0,25.0,1280.0,720.0,71.42857142,40.0488,0.96556,93.80538628000002
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,71.42857142,39.36599999999999,0.9620799999999998,99.09766864000001
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,80.0,38.98800000000001,0.9624399999999999,97.12986772000001
0.0,1.0,300.0,1.0,25.0,1280.0,720.0,80.0,50.532399999999996,0.99744,96.14898907999999
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,80.0,50.42880000000002,0.9979200000000001,96.11892304000001
0.0,0.0,300.0,1.0,25.0,1280.0,720.0,80.0,50.46166666666668,0.9980000000000002,96.13269049999997
